Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g,
,,(108s-1),Levels (cm -1 ),,,,,
400,1850.6719,3.14,223.157,3s23p2,3P,2,5,
400,1850.6719,3.14,54257.574,3s23p3d,3D¡«,3,7,
400,1977.5978,0.279,0,3s23p2,3P,0,1,
400,1977.5978,0.279,50566.414,3s23p3d,3P¡«,1,3,
400,1979.2056,0.87,77.112,3s23p2,3P,1,3,
400,1979.2056,0.87,50602.435,3s23p3d,3P¡«,0,1,
300,1980.6185,0.207,77.112,3s23p2,3P,1,3,
300,1980.6185,0.207,50566.414,3s23p3d,3P¡«,1,3,
300,1983.233,0.218,77.112,3s23p2,3P,1,3,
300,1983.233,0.218,50499.843,3s23p3d,3P¡«,2,5,
500,1986.364,0.365,223.157,3s23p2,3P,2,5,
500,1986.364,0.365,50566.414,3s23p3d,3P¡«,1,3,
1000,1988.9937,0.657,223.157,3s23p2,3P,2,5,
1000,1988.9937,0.657,50499.843,3s23p3d,3P¡«,2,5,
400,2207.978,0.262,0,3s23p2,3P,0,1,
400,2207.978,0.262,45276.187,3s3p3,3D¡«,1,3,
500,2210.894,0.345,77.112,3s23p2,3P,1,3,N
500,2210.894,0.345,45293.623,3s3p3,3D¡«,2,5,N
300,2211.744,0.181,77.112,3s23p2,3P,1,3,N
300,2211.744,0.181,45276.187,3s3p3,3D¡«,1,3,N
500,2216.669,0.454,223.157,3s23p2,3P,2,5,
500,2216.669,0.454,45321.848,3s3p3,3D¡«,3,7,
400,2218.057,0.109,223.157,3s23p2,3P,2,5,N
400,2218.057,0.109,45293.623,3s3p3,3D¡«,2,5,N
400,2506.897,0.547,77.112,3s23p2,3P,1,3,
400,2506.897,0.547,39955.051,3s23p4s,3P¡«,2,5,
400,2514.316,0.74,0,3s23p2,3P,0,1,
400,2514.316,0.74,39760.285,3s23p4s,3P¡«,1,3,
500,2516.112,1.68,223.157,3s23p2,3P,2,5,
500,2516.112,1.68,39955.051,3s23p4s,3P¡«,2,5,
400,2519.202,0.549,77.112,3s23p2,3P,1,3,
400,2519.202,0.549,39760.285,3s23p4s,3P¡«,1,3,
400,2524.108,2.22,77.112,3s23p2,3P,1,3,
400,2524.108,2.22,39683.158,3s23p4s,3P¡«,0,1,
400,2528.509,0.904,223.157,3s23p2,3P,2,5,N
400,2528.509,0.904,39760.285,3s23p4s,3P¡«,1,3,N
1000,2881.5771,2.17,6298.847,3s23p2,1D,2,5,
1000,2881.5771,2.17,40991.888,3s23p4s,1P¡«,1,3,
50,5948.545,0.022,40991.888,3s23p4s,1P¡«,1,3,
50,5948.545,0.022,57798.08,3s23p5p,1D,2,5,
80,7405.774,0.037,45276.187,3s3p3,3D¡«,1,3,
80,7405.774,0.037,58775.442,3s23p(2P¡«1/2)4f,2[5/2],2,5,
