Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
600,3350.47, ,1158.943,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,11/2,12
600,3350.47, ,30996.851,4f7(8S¡ã)5d (9D¡ã)6p,10D,2/13,14
500,3358.62, ,261.841,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,7/2,8
500,3358.62, ,30027.378,4f7(8S¡ã)5d (9D¡ã)6p,8D,9/2,10
600,3362.23, ,633.273,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,9/2,10
600,3362.23, ,30366.818,4f7(8S¡ã)5d (9D¡ã)6p,10D,11/2,12
800,3422.47, ,1935.31,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,2/13,14
800,3422.47, ,31145.651,4f7(8S¡ã)5d (9D¡ã)6p,10F,2/15,16
500,3545.8, ,1158.943,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,11/2,12
500,3545.8, ,29353.344,4f7(8S¡ã)5d (9D¡ã)6p,10F,2/13,14
600,3584.96, ,1158.943,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,11/2,12
600,3584.96, ,29045.291,4f7(8S¡ã)5d (9D¡ã)6p,10D,9/2,10
700,3646.19, ,1935.31,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,2/13,14
700,3646.19, ,29353.344,4f7(8S¡ã)5d (9D¡ã)6p,10F,2/13,14
500,3743.47, ,1158.943,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,11/2,12
500,3743.47, ,27864.534,4f7(8S¡ã)5d (9D¡ã)6p,10F,11/2,12
1000,3768.39, ,633.273,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,9/2,10
1000,3768.39, ,27162.224,4f7(8S¡ã)5d (9D¡ã)6p,10F,9/2,10
600,3796.37, ,261.841,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,7/2,8
600,3796.37, ,26595.222,4f7(8S¡ã)5d (9D¡ã)6p,10F,7/2,8
600,3850.97, ,0,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,5/2,6
600,3850.97, ,25960.073,4f7(8S¡ã)5d (9D¡ã)6p,10F,3/2,4
500,3852.45, ,261.841,4f7(8S¡ã)5d (9D¡ã)6s,10D¡ã,7/2,8
500,3852.45, ,26211.912,4f7(8S¡ã)5d (9D¡ã)6p,10F,5/2,6
250,3916.51, ,4841.106,4f7(8S¡ã)5d (9D¡ã)6s,8D¡ã,11/2,12
250,3916.51, ,30366.818,4f7(8S¡ã)5d (9D¡ã)6p,10D,11/2,12
250,4049.86, ,7992.268,4f8(7F)6s,8F,2/13,14
250,4049.86, ,32677.54,4f8(7F6)6p1/2,"(6,1/2)¡ã",2/13,14
300,4098.61, ,6605.154,4f7(8S¡ã)5d2(3F),10F¡ã,2/15,16
300,4098.61, ,30996.851,4f7(8S¡ã)5d (9D¡ã)6p,10D,2/13,14
250,4130.37, ,5897.264,4f7(8S¡ã)5d2(3F),10F¡ã,2/13,14
250,4130.37, ,30101.366,4f7(8S¡ã)5d (9D¡ã)6p, ,11/2,12
300,4184.25, ,3972.167,4f7(8S¡ã)5d (9D¡ã)6s,8D¡ã,9/2,10
300,4184.25, ,27864.534,4f7(8S¡ã)5d (9D¡ã)6p,10F,11/2,12
