Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
70,2727.78,0.65,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,N,Fe
70,2727.78,0.65,36648.95,4f6(7F)5d (8P)6s,y 9P,5,11,N,Fe
60,2813.94,0.55,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,N,Fe
60,2813.94,0.55,35527.02,4f6(7F)5d (8P)6s,y 9P,4,9,N,Fe
50,2906.68,0.41,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,N,Fe
50,2906.68,0.41,34393.57,4f6(7F)5d (8P)6s,y 9P,3,7,N,Fe
110,3688.42,0.13,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,N,Fe
110,3688.42,0.13,27104.07,4f7(8S¡«7/2)6p3/2,"(7/2,3/2)",3,7,N,Fe
300,3724.94,0.45,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,,
300,3724.94,0.45,26838.5,4f7(8S¡«7/2)6p3/2,"(7/2,3/2)",4,9,,
600,3819.67,1.27,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,N,Fe
600,3819.67,1.27,26172.83,4f7(8S¡«7/2)6p3/2,"(7/2,3/2)",5,11,N,Fe
500,3907.1,1.37,1669.21,4f7(8S¡«)6s,a 7S¡«,3,7,N,
500,3907.1,1.37,27256.35,4f7(8S¡«7/2)6p3/2,"(7/2,3/2)",2,5,N,
500,3930.48,1.07,1669.21,4f7(8S¡«)6s,a 7S¡«,3,7,,
500,3930.48,1.07,27104.07,4f7(8S¡«7/2)6p3/2,"(7/2,3/2)",3,7,,
500,3971.96,0.89,1669.21,4f7(8S¡«)6s,a 7S¡«,3,7,,
500,3971.96,0.89,26838.5,4f7(8S¡«7/2)6p3/2,"(7/2,3/2)",4,9,,
600,4129.7,0.68,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,,
600,4129.7,0.68,24207.86,4f7(8S¡«7/2)6p1/2,"(7/2,1/2)",4,9,,
1000,4205.05,0.71,0.0,4f7(8S¡«)6s,a 9S¡«,4,9,,
1000,4205.05,0.71,23774.28,4f7(8S¡«7/2)6p1/2,"(7/2,1/2)",3,7,,
250,4435.56,0.31,1669.21,4f7(8S¡«)6s,a 7S¡«,3,7,N,Ca
250,4435.56,0.31,24207.86,4f7(8S¡«7/2)6p1/2,"(7/2,1/2)",4,9,N,Ca
50,4522.57,0.099,1669.21,4f7(8S¡«)6s,a 7S¡«,3,7,N,
50,4522.57,0.099,23774.28,4f7(8S¡«7/2)6p1/2,"(7/2,1/2)",3,7,N,
