Wavelength (nm),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
200.4862,,,9.109e-26
202.58242,9.861e+3,,
203.9549,,,7.934e-25
205.5483,,,6.428e-25
206.4905,,,3.312e-24
208.5886,,,2.491e-25
209.1959,,,1.324e-24
209.7934,,,4.103e-25
211.2776,,,4.758e-25
213.4049,,,4.267e-25
217.7697,,,7.314e-25
225.3869,,2.093e+0,
225.3913,,1.467e+0,
232.9562,,3.274e+0,
232.9609,,2.293e+0,
239.5157,,,1.474e-24
244.9561,,7.041e+0,
244.9613,,4.938e+0,
246.7756,,,6.098e-25
249.0535,,,7.023e-29
252.9194,,,1.668e-25
261.8007,,,5.042e-29
266.0754,,1.981e+1,
266.0817,,1.388e+1,
273.1994,3.026e+2,,
273.34941,6.780e+2,,
273.65414,1.266e+3,,
277.669,1.037e+4,,
277.8271,8.628e+3,,
277.982,6.447e+3,,
277.9834,3.213e+4,,
278.1416,8.606e+3,,
278.2971,1.014e+4,,
279.0777,,2.347e+4,
279.5528,,2.627e+6,
279.793,,4.670e+3,
279.7998,,4.206e+4,
280.2705,,1.315e+6,
280.9755,8.539e+1,,
280.9756,6.799e+2,,
281.1048,3.816e+2,,
281.105,8.528e+1,,
281.1051,8.216e+1,,
281.1777,8.224e+1,,
281.178,2.468e+2,,
284.67167,7.035e+2,,
284.83438,5.295e+2,,
284.83456,1.584e+3,,
285.16537,5.263e+2,,
285.16562,2.945e+3,,
285.21261,6.213e+5,,
291.5453,1.197e+3,,
292.8633,,4.291e+3,
293.651,,8.582e+3,
294.1994,4.284e+2,,
309.1064,2.476e+3,,
309.29824,1.667e+3,,
309.29863,4.995e+3,,
309.68875,1.656e+3,,
309.68911,9.274e+3,,
310.4715,,8.991e+1,
310.4805,,6.295e+1,
333.21458,1.142e+3,,
333.6674,1.903e+3,,
353.8812,,2.755e+0,
362.7628,1.645e+1,,
382.93547,1.770e+4,,
383.22993,1.327e+4,,
383.23039,3.970e+4,,
383.82919,7.396e+4,,
383.82946,1.322e+4,,
389.0178,1.532e+2,,
389.1906,3.446e+2,,
389.3304,1.148e+2,,
389.5572,6.391e+2,,
389.8059,1.145e+2,,
393.84002,2.970e+2,,
398.67533,4.144e+2,,
405.75052,6.166e+2,,
416.72713,9.161e+2,,
435.19057,1.415e+3,,
438.4637,,8.504e+0,
439.0572,,1.522e+1,
443.3988,,6.359e+0,
443.6491,,1.248e+0,
443.6593,,8.728e-1,
448.1126,,1.094e+3,
448.115,,5.458e+1,
448.1325,,7.641e+2,
470.29908,2.156e+3,,
473.9593,,1.948e+0,
473.9709,,1.363e+0,
516.73213,5.895e+3,,
517.26844,1.758e+4,,
518.36043,2.927e+4,,
526.422,,4.140e+0,
526.4364,,2.909e+0,
552.84047,2.162e+3,,
634.6742,,1.144e+1,
634.6964,,7.995e+0,
787.7054,,1.657e+2,
789.604,,3.299e+1,
789.6366,,2.970e+2,
821.3041,4.353e+2,,
821.3987,,3.597e+1,
823.4636,,7.181e+1,
874.5663,,2.543e+0,
880.6756,5.214e+3,,
